step,nav_state,reason,true_x,true_y,true_theta,est_x,est_y,est_theta,loc_err_xy_m,loc_err_theta_rad,v_cmd,w_cmd,front_min,left_min,right_min,pf_cluster_radius_m,kf_var_xy_mean,disagreement_xy_m,path_distance_m,path_index,track_stall_steps,goal_dist_true_m,goal_dist_est_m,pf_dominant_mass,pf_top_ratio,ambiguity_active,ambiguity_counter,ambiguity_front_m,ambiguity_left_m,ambiguity_right_m,ambiguity_scan_change_m,path_revision,path_num_points,path_length_m,path_goal_x,path_goal_y,transition_reason,track_event,force_replan_reason,force_relocalize_reason,speed_limiter,base_v_cmd,base_w_cmd,align_active,align_target_heading,align_heading_error,ctrl_nearest_idx,ctrl_look_idx,ctrl_target_x,ctrl_target_y,ctrl_alpha,ctrl_curvature,ctrl_lookahead_dist,scan_mismatch_cost,scan_mismatch_counter,map_conflict_counter,scan_match_cost,localize_stable_counter,localize_cmd_distance_m,localize_cmd_turn_rad,ambiguity_clear_counter
1,localize,scan_match_bad,2,0.8,0.984684602672351,1.62189468580317,1.34000002278775,0.674716282867995,0.659214421288441,0.309968319804356,0.2,0.0953682146701798,2.37716202403974,2.08349174228857,0.7507688156928,0.126892215810227,1.01,Inf,Inf,1,NaN,11.0634533487515,10.918208634883,0.868503371961292,4.14948351930303,0,0,2.37716202403974,2.08349174228857,0.7507688156928,0,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.338482489179527,0,0.02,0.00953682146701798,0
2,localize,scan_match_bad,2.01125393806816,0.81718212655009,0.997172688142853,1.7041324798457,1.35914971714379,0.706025385748771,0.622938567881796,0.291147302394082,0.2,0.097019417539039,2.35975775026662,2.0066676386555,0.815030560118034,0.160454203160189,1.020402,Inf,Inf,1,NaN,11.043084054845,10.8474403910725,0.930391680424841,2.28613342901127,0,0,2.35975775026662,2.0066676386555,0.815030560118034,0.0631165794163589,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.300954455239606,0,0.04,0.0192387632209219,0
3,localize,scan_match_warn,2.02191643265218,0.83388753106796,1.00825554925275,1.74133917351754,1.34057991315921,0.791240560875178,0.579189751646919,0.217014988377577,0.2,0.0949660943452216,2.40303304793063,1.95751389560161,0.834940075170984,0.185205580713054,1.03160996343799,Inf,Inf,1,NaN,11.0234623210064,10.8352252134388,0.998344577825944,1.07607442256678,0,0,2.40303304793063,1.95751389560161,0.834940075170984,0.0458618178693883,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.202026592108858,0,0.06,0.028735372655444,0
4,localize,ok,2.03219333305378,0.850354811622513,1.01746217094746,1.79024055565456,1.30527686449458,0.853539176095867,0.515262283386369,0.163922994851593,0.2,0.0951975977253117,2.46108914712829,2.03372867818242,0.862122519017265,0.207153248646361,1.04362777662303,Inf,Inf,1,NaN,11.0042731330385,10.827335240462,0.999999997084959,1.10217290707979,0,0,2.46108914712829,2.03372867818242,0.862122519017265,0.0832030523912531,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.137120787302312,1,0.08,0.0382551324279752,0
5,localize,ok,2.04238374598722,0.867057425310916,1.02849175700244,1.84699498242303,1.28048771977049,0.88168491845379,0.457276040597006,0.146806838548652,0.2,0.0964259611435889,2.40913320785742,2.14598991149522,0.936182705399162,0.204300901586943,1.05645925918719,Inf,Inf,1,NaN,10.984962557641,10.8067274206958,0.998397376342054,1.06775355879297,0,0,2.40913320785742,2.14598991149522,0.936182705399162,0.0808553904389791,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11135635280519,2,0.1,0.0478977285423341,0
6,localize,ok,2.05275609712149,0.88446833480026,1.03854041940397,1.88811924049621,1.2810683782286,0.913943527867619,0.429414588721453,0.12459689153635,0.2,0.0913597438067837,2.45074677438206,2.1584010850796,0.872174148236305,0.207094628904991,1.07010815398805,Inf,Inf,1,NaN,10.9649971400896,10.7783615763943,0.999783644140476,1.19889155647375,0,0,2.45074677438206,2.1584010850796,0.872174148236305,0.0926465215354011,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.125190151503314,3,0.12,0.0570337029230124,0
7,localize,scan_match_warn,2.06283708975631,0.901750045949219,1.04690381530021,1.90873002499108,1.27614644769198,0.932626106921566,0.404872391067212,0.114277708378642,0.2,0.0941688654572004,2.37331518096042,2.02144646021134,0.947582672135598,0.204762005879148,1.08457811608959,Inf,Inf,1,NaN,10.9453207676734,10.7680115604921,0.999999989008181,1.18795396276898,1,1,2.37331518096042,2.02144646021134,0.947582672135598,0.0957809828186791,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.16505434280582,0,0.14,0.0664505894687325,0
8,localize,scan_match_warn,2.07294548861504,0.919354400034467,1.05222495297909,1.94133990011453,1.29083912964791,0.961201654388457,0.394107771124271,0.0910232985906343,0.2,0.0959424691456884,2.48440218892499,2.11085791810254,0.947377688310661,0.262309931278896,1.09987281201583,Inf,Inf,1,NaN,10.9253831768264,10.7351279507409,0.936699999999997,1.90990287506822,0,0,2.48440218892499,2.11085791810254,0.947377688310661,0.0613995309376224,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17064989010318,0,0.16,0.0760448363833013,0
9,localize,scan_match_bad,2.08276432211241,0.936741380411985,1.06121410752365,1.9646541352495,1.28588946702446,0.998378468911008,0.368584322273676,0.0628356386126385,0.2,0.0967369862931558,2.47175085595702,2.18757187233034,0.970635549529058,0.226167282585865,1.11599573977293,Inf,Inf,1,NaN,10.905800599167,10.7230301366133,0.999972618890975,1.11651167090332,0,0,2.47175085595702,2.18757187233034,0.970635549529058,0.0599153422299664,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.235410692927774,0,0.18,0.0857185350126169,0
10,localize,ok,2.09244515635149,0.954230046450354,1.06925071579476,2.02117631972788,1.24149497868518,1.04727450172317,0.295973627821066,0.0219762140715978,0.2,0.0981451195979377,2.48901966867359,2.24144787764486,0.945530188186105,0.230914003503201,1.13295030730673,Inf,Inf,1,NaN,10.8862324971651,10.7178967902629,0.999982953251116,1.00026621296251,0,0,2.48901966867359,2.24144787764486,0.945530188186105,0.087679036221306,0,0,0,NaN,NaN,stay,none,none,none,none,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0547809126957896,1,0.2,0.0955330469724107,0
